"","Interact","Canopy","Lat","Elevation","Dist_continent","Number_neighbors","Reptile_diversity","per_built","log_per_crop","log_Area","log_Age","sqrt_mammal.visits","per_forest","inv_bird_diversity","log_GPC","log_dist_road","log_dist_built","Native_plants","log_road_length","near_length","elevation_range","log_tourist","sqrt_bird_visits","log_mass_effect"
"log_GPC",0.387582278697306,0.239218292362214,0.489608113661601,-0.438287799370296,0.478629522005228,0.672774198060667,0.0723663650519572,0.401874310572521,-0.182887216900854,-0.50929935162159,-0.209782632296582,0.0303907464443178,-0.596307950334138,0.310412441626277,1,0.272641750622409,-0.618051274400039,-0.61580574186094,-0.473494536711953,-0.033953068104972,-0.361050346376757,-0.303292350707353,0.108981928423853,-0.155085883515504
"log_dist_road",0.111965060264989,-0.3641328791744,0.282930531074497,-0.154413696509203,0.280378871938921,0.491126407125035,-0.0772491539293454,0.163412423174034,-0.00462000855224227,-0.387395091667349,-0.455503335408321,-0.067053555422574,-0.288811402284982,0.41314537117539,0.272641750622409,1,-0.142496677841587,-0.418817520260131,-0.333034556633423,-0.515502249420472,0.0224762023917596,-0.167835636825363,-0.238595728334116,-0.524588256985277
"log_dist_built",-0.35452813768196,-0.276409297207833,-0.468666450149637,0.64889585784843,-0.46995136149528,-0.409984342552291,-0.00849091391918203,-0.319768106610653,0.555229127542878,0.723322045653222,0.176507362832149,0.396883820022558,0.585659394880544,-0.533436007881189,-0.618051274400039,-0.142496677841587,1,0.751034785003693,0.733616224736977,-0.311309154120553,0.741751048821549,0.637180952899049,-0.40175289810458,0.295902616370484
"Native_plants",-0.269906340144237,-0.04901149591047,-0.680116335584153,0.523424495429205,-0.688207292590115,-0.61812573777176,0.194269253342172,-0.381169429848773,0.404502220653403,0.850558257870923,0.518825087618235,0.274409899595795,0.618126330559711,-0.721607631220693,-0.61580574186094,-0.418817520260131,0.751034785003693,1,0.773988561004529,0.00745981981353198,0.505888444105868,0.565966110702482,-0.0981411948516172,0.715675500706218
"log_road_length",-0.0675448628310111,0.116865031331307,-0.57675402817496,0.303991489346783,-0.563515432299167,-0.492713335772904,0.374482648085338,0.0273970429736953,0.684254946843963,0.973752710785563,0.651542226882261,0.443538751630305,0.533364022947977,-0.73058058084464,-0.473494536711953,-0.333034556633423,0.733616224736977,0.773988561004529,1,-0.241670820985463,0.445979980685759,0.912986452290719,-0.282425407422105,0.513652981536562
"near_length",-0.376726076331528,-0.0438282478379892,0.147299153127069,-0.312863593629163,0.133083832792664,-0.116623189807506,0.118982624498675,0.00927313203401133,-0.117077214211866,-0.141027338680185,0.0827172334493662,-0.648989930281642,-0.314872349107183,0.271165893443295,-0.033953068104972,-0.515502249420472,-0.311309154120553,0.00745981981353198,-0.241670820985463,1,-0.38323274013307,-0.318157460892713,0.315858258581126,0.165817886891878
"elevation_range",0.0974479852104655,-0.184169885684241,-0.00804350294817466,0.705268079902334,-0.0126865186452964,0.00931670615278344,-0.431347312420717,-0.425508423506184,0.275778518696431,0.460114865013035,-0.322452411909024,0.473447102865728,0.347084442624132,-0.156614676709964,-0.361050346376757,0.0224762023917596,0.741751048821549,0.505888444105868,0.445979980685759,-0.38323274013307,1,0.357578467292204,-0.218408485557989,-0.0670315194969381
"log_tourist",-0.0607711273594642,0.0750060231329302,-0.391104351431612,0.258168147260113,-0.380045628493893,-0.296257673425529,0.345228834078111,0.364274996398371,0.822024590022276,0.822959970940471,0.585372553288115,0.463754171635962,0.258897319948491,-0.625131462048487,-0.303292350707353,-0.167835636825363,0.637180952899049,0.565966110702482,0.912986452290719,-0.318157460892713,0.357578467292204,1,-0.47659153289293,0.30865763457954
"sqrt_bird_visits",0.300488790082103,0.0308169418892492,-0.0167744006080352,-0.2715978019645,-0.00525462539552254,-0.218558402733322,-0.30626640766512,-0.198693021009397,-0.468133325682325,-0.185923611762474,0.0609237184504842,-0.356698561361542,-0.0161832349457102,0.149334337312277,0.108981928423853,-0.238595728334116,-0.40175289810458,-0.0981411948516172,-0.282425407422105,0.315858258581126,-0.218408485557989,-0.47659153289293,1,0.0796958375084083
"log_mass_effect",-0.192547799872437,0.241402569825637,-0.616780019339211,0.167493298570361,-0.620324898204622,-0.467894892811819,0.505916578310464,-0.223557608472742,0.205050944856856,0.601094862545976,0.741493601949616,0.169334980286172,0.392640579456464,-0.781002728689194,-0.155085883515504,-0.524588256985277,0.295902616370484,0.715675500706218,0.513652981536562,0.165817886891878,-0.0670315194969381,0.30865763457954,0.0796958375084083,1
